"","player_id","average_rank","weight_kg","height_cm","average_tourneys_played","average_age","backhand","handedness"
"1","a479",84.1190476190476,86,183,23.7619047619048,31.3095238095238,"One-Handed Backhand","Right-Handed"
"2","a539",1398.44444444444,80,183,3.88888888888889,31,"One-Handed Backhand","Right-Handed"
"3","a596",714.897435897436,76,180,5.20512820512821,30.9230769230769,"Two-Handed Backhand","Right-Handed"
"4","a622",250.97619047619,72,180,30.5,29,"One-Handed Backhand","Left-Handed"
"5","a678",45.9047619047619,93,203,22.8095238095238,30.5952380952381,"Two-Handed Backhand","Right-Handed"
"6","a725",842.714285714286,85,191,31.5,33.5952380952381,"Two-Handed Backhand","Right-Handed"
"7","a759",1878.11111111111,73,178,3.33333333333333,28.7777777777778,"One-Handed Backhand","Right-Handed"
"8","a829",102.5,69,175,31.452380952381,27.047619047619,"Two-Handed Backhand","Right-Handed"
"9","a853",216.690476190476,86,191,24.9047619047619,26.1190476190476,"Two-Handed Backhand","Right-Handed"
"10","a887",143.880952380952,77,183,25.6190476190476,25.3571428571429,"Two-Handed Backhand","Right-Handed"
"11","a941",463.190476190476,77,178,19.5,24.3571428571429,"Two-Handed Backhand","Right-Handed"
"12","a943",704.690476190476,82,183,20.7380952380952,26.7619047619048,"Two-Handed Backhand","Right-Handed"
"13","aa81",1079.81481481481,70,175,5.48148148148148,24,"Two-Handed Backhand","Right-Handed"
"14","ab12",737.738095238095,79,188,10.4761904761905,24.3571428571429,"Two-Handed Backhand","Right-Handed"
"15","ab17",481.071428571429,75,183,24.5,23.2380952380952,"Two-Handed Backhand","Right-Handed"
"16","ab40",630.095238095238,85,191,19.952380952381,21.6190476190476,"Two-Handed Backhand","Right-Handed"
"17","ac84",850.238095238095,84,188,6.07142857142857,21,"Two-Handed Backhand","Right-Handed"
"18","ad04",955,75,178,17.6428571428571,19.547619047619,"Two-Handed Backhand","Right-Handed"
"19","ad23",1058.97368421053,73,175,2.07894736842105,18.6315789473684,"Two-Handed Backhand","Right-Handed"
"20","ad41",941.714285714286,67,175,18.4285714285714,20.6428571428571,"Two-Handed Backhand","Right-Handed"
"21","af32",761.690476190476,76,185,12.3333333333333,19.2619047619048,"Two-Handed Backhand","Right-Handed"
"22","ag37",312.166666666667,84,188,17.2619047619048,16.3333333333333,"Two-Handed Backhand","Right-Handed"
"23","b678",449.27027027027,100,193,12.1351351351351,36.4054054054054,"One-Handed Backhand","Left-Handed"
"24","b747",99.9761904761905,79,185,20.1904761904762,35,"Two-Handed Backhand","Right-Handed"
"25","b804",1546.675,74,180,1.675,34.75,"Two-Handed Backhand","Right-Handed"
"26","b837",69.4047619047619,82,178,22.3095238095238,31.5238095238095,"Two-Handed Backhand","Right-Handed"
"27","b884",86.7142857142857,81,183,26.7142857142857,33.9047619047619,"One-Handed Backhand","Right-Handed"
"28","b896",242.809523809524,72,178,18.2857142857143,35.5238095238095,"Two-Handed Backhand","Right-Handed"
"29","b946",1032.91666666667,85,183,4.375,33.9166666666667,"Two-Handed Backhand","Right-Handed"
"30","ba23",417,77,191,13.452380952381,31.6666666666667,"Two-Handed Backhand","Right-Handed"
"31","ba47",15,91,196,21.5714285714286,31.2380952380952,"Two-Handed Backhand","Right-Handed"
"32","ba65",95.4285714285714,78,196,26.5,32,"Two-Handed Backhand","Right-Handed"
"33","ba79",756.714285714286,90,188,1,33,"Two-Handed Backhand","Right-Handed"
"34","ba86",722.939393939394,89,191,8.42424242424242,30.8787878787879,"Two-Handed Backhand","Left-Handed"
"35","ba98",374.238095238095,83,183,8.35714285714286,31.1666666666667,"One-Handed Backhand","Right-Handed"
"36","bc68",472.547619047619,79,188,16.8333333333333,28.1666666666667,"One-Handed Backhand","Right-Handed"
"37","bc72",223.714285714286,92,196,21.2857142857143,29.4285714285714,"One-Handed Backhand","Right-Handed"
"38","bc76",907.583333333333,75,175,11.9722222222222,29.6388888888889,"Two-Handed Backhand","Right-Handed"
"39","bd06",17.1190476190476,76,183,23.8571428571429,28.7142857142857,"Two-Handed Backhand","Right-Handed"
"40","bd20",73.1904761904762,82,188,23.5,29,"Two-Handed Backhand","Left-Handed"
"41","bd80",215.428571428571,78,180,24.2619047619048,28,"Two-Handed Backhand","Right-Handed"
"42","bd83",1701.83333333333,93,203,1.91666666666667,29.8333333333333,"One-Handed Backhand","Right-Handed"
"43","be44",1344.04761904762,76,183,8.47619047619048,26,"Two-Handed Backhand","Right-Handed"
"44","be54",120.738095238095,75,183,24.5238095238095,28.952380952381,"Two-Handed Backhand","Left-Handed"
"45","be67",177.214285714286,88,188,20.4761904761905,25.4285714285714,"Two-Handed Backhand","Right-Handed"
"46","be68",336.47619047619,80,185,26.3571428571429,26.7857142857143,"Two-Handed Backhand","Right-Handed"
"47","be69",522.47619047619,80,185,18.6428571428571,27.5952380952381,"Two-Handed Backhand","Right-Handed"
"48","be90",163.166666666667,70,175,16.7619047619048,26.5,"Two-Handed Backhand","Right-Handed"
"49","bf12",686.166666666667,75,180,16.2619047619048,27.547619047619,"One-Handed Backhand","Right-Handed"
